ID ,err_0_fi(1e6*sec),err_0_h(nm),err_1_fi(1e6*sec),err_1_h(nm),err_2_fi(1e6*sec),err_2_h(nm)
1090,-32.869067467800051000,-0.436557456851005550,0.000460431692772545,-0.109139364212751390,0.000460431692772545,0.931322574615478520
1091,-128.443815583523250000,0.727595761418342590,-0.000051159076974727,1.076841726899147000,-0.000549960077478318,1.076841726899147000
1092,-490.596069369075850000,0.465661287307739260,-0.000102318153949454,1.688022166490554800,-0.000191846538655227,1.688022166490554800
1093,-1054.782552500910200000,-0.116415321826934810,0.000063948846218409,2.502929419279098500,0.000038369307731045,0.174622982740402220
1094,-1793.049331411111800000,0.465661287307739260,-0.000166267000167863,-0.349245965480804440,-0.000115107923193136,0.698491930961608890
1095,-2680.715336111916300000,0.058207660913467407,-0.000140687461680500,-0.640284270048141480,-0.000038369307731045,1.629814505577087400
1096,-5416.634360244643200000,1.164153218269348100,-0.000613908923696727,1.746229827404022200,0.000051159076974727,0.116415321826934810
1097,-8680.058822108094300000,0.698491930961608890,-0.001573141616972862,1.513399183750152600,-0.000038369307731045,1.629814505577087400
1098,-31080.506117575624000000,40.046870708465576000,-0.020617108020815067,1.396983861923217800,-0.000051159076974727,1.396983861923217800
1099,-58955.326636578320000000,365.078449249267580000,-0.074027184382430278,0.000000000000000000,-0.000038369307731045,1.862645149230957000
1100,-65905.970230062390000000,595.115125179290770000,-0.092521190708794165,-0.931322574615478520,-0.000025579538487364,0.000000000000000000
1101,-71027.270107038028000000,870.786607265472410000,-0.107485220723901880,-4.656612873077392600,-0.000025579538487364,-1.862645149230957000
1102,-74703.960598299091000000,1186.504960060119600000,-0.118919274427753410,2.793967723846435500,-0.000038369307731045,2.793967723846435500
1103,-77254.271664628497000000,1527.369022369384800000,-0.127181465359171850,1.862645149230957000,-0.000012789769243682,3.725290298461914100
1104,-78931.340976851061000000,1886.859536170959500000,-0.132745014980173440,3.725290298461914100,0.000025579538487364,1.862645149230957000
1105,-79790.749764185879000000,3773.719072341918900000,-0.135686661906220250,-1.862645149230957000,-0.000038369307731045,1.862645149230957000
1106,-75473.546657178755000000,5554.407835006713900000,-0.121438858968758720,3.725290298461914100,-0.000038369307731045,0.000000000000000000
1107,-70036.863758105028000000,7111.579179763793900000,-0.104543573797855060,-3.725290298461914100,-0.000025579538487364,-3.725290298461914100
1108,-64707.023790333551000000,8448.958396911621100000,-0.089221430243924260,0.000000000000000000,0.000000000000000000,3.725290298461914100
1109,-59838.540931878015000000,9596.347808837890600000,-0.076354922384780366,0.000000000000000000,-0.000038369307731045,0.000000000000000000
1110,-55498.577982859846000000,10564.923286437988000000,-0.065662675297062378,0.000000000000000000,-0.000038369307731045,0.000000000000000000
1111,-48264.641294792906000000,12151.896953582764000000,-0.049598725126998033,7.450580596923828100,0.000012789769243682,7.450580596923828100
1112,-36100.151309881316000000,14722.347259521484000000,-0.027766589028033195,14.901161193847656000,-0.000012789769243682,14.901161193847656000
1113,-28727.314261800529000000,16242.265701293945000000,-0.017573142940818798,0.000000000000000000,-0.000038369307731045,0.000000000000000000
1114,-15733.758296221367000000,18924.474716186523000000,-0.005256595159153221,0.000000000000000000,0.000025579538487364,29.802322387695313000
1115,-10819.385464344577000000,19907.951354980469000000,-0.002481215233274270,0.000000000000000000,-0.000012789769243682,0.000000000000000000
1116,-9356.806657478955500000,20205.974578857422000000,-0.001854516540333862,59.604644775390625000,0.000000000000000000,59.604644775390625000
1117,-8242.276634007339500000,20384.788513183594000000,-0.001445243924536044,-59.604644775390625000,-0.000012789769243682,0.000000000000000000
1118,-6656.167265362000800000,20742.416381835938000000,-0.000933653154788772,-59.604644775390625000,0.000025579538487364,-59.604644775390625000
1119,-4493.683108819368500000,21219.253540039063000000,-0.000473221462016227,119.209289550781250000,-0.000025579538487364,119.209289550781250000
1120,-3391.619286219338400000,21457.672119140625000000,-0.000243005615629954,-119.209289550781250000,-0.000012789769243682,0.000000000000000000
1121,0.021614710021822248,-1.839381980062171400,0.022893686946190428,-2.875950144698435900,0.126311761050601490,-0.556042323296424000
1122,-0.100284580639709020,0.625789198238635440,-0.059600324675557204,-0.410750544688198720,-0.080127904311666498,-0.410750544688198720
1123,-0.007609912699990673,0.214981810131575910,0.012789769243681803,0.214981810131575910,-0.007609912699990673,0.214981810131575910
1124,-1.444514907689153900,-1.249645720236003400,-0.002634692464198452,-0.465661287307739260,-0.001624300693947589,-1.502485247328877400
1125,-35.417467358911381000,-0.494765117764472960,-0.000063948846218409,0.720319803804159160,-0.000294164692604681,-0.320142135024070740
1126,-138.399512650266840000,-0.291038304567337040,0.000051159076974727,0.407453626394271850,0.000383693077310454,0.654836185276508330
1127,-528.627074913856630000,0.174622982740402220,0.000153477230924182,1.600710675120353700,0.000153477230924182,-0.465661287307739260
1128,-1136.555451353160600000,-0.873114913702011110,-0.000025579538487364,-1.804437488317489600,0.000051159076974727,0.291038304567337040
1129,-1932.066436438617500000,-0.582076609134674070,-0.000063948846218409,-0.349245965480804440,-0.000012789769243682,-1.338776201009750400
1130,-2888.567797754149100000,-1.396983861923217800,-0.000102318153949454,-1.571606844663620000,0.000000000000000000,-1.338776201009750400
1131,-5836.682714743801600000,-0.465661287307739260,-0.000639488462184090,0.000000000000000000,-0.000012789769243682,-1.746229827404022200
1132,-9353.270004908154100000,0.931322574615478520,-0.001777777924871771,-1.047737896442413300,0.000000000000000000,1.047737896442413300
1133,-33492.473997398520000000,44.703483581542969000,-0.022727419946022565,-1.396983861923217800,0.000025579538487364,-0.465661287307739260
1134,-63532.827894619004000000,423.751771450042720000,-0.081764994774857769,0.931322574615478520,-0.000025579538487364,0.000000000000000000
1135,-71023.774624734418000000,691.041350364685060000,-0.102190256257017610,0.931322574615478520,0.000000000000000000,-0.931322574615478520
1136,-76543.292050246237000000,1013.278961181640600000,-0.118676268812123450,0.000000000000000000,0.000025579538487364,0.931322574615478520
1137,-80505.963943267037000000,1374.632120132446300000,-0.131338140363368440,-0.931322574615478520,0.000000000000000000,-1.862645149230957000
1138,-83254.724241044183000000,1771.375536918640100000,-0.140431666295626200,-1.862645149230957000,0.000000000000000000,-1.862645149230957000
1139,-85062.369282695727000000,2186.745405197143600000,-0.146596335071080830,0.000000000000000000,0.000000000000000000,0.000000000000000000
