Xp,Yp,Zp
11494990.586145731000000000,11494990.586145729000000000,1990827.651055542100000000
15004171.158476682000000000,15004171.158476679000000000,2600174.368081279600000000
18513351.730807628000000000,18513351.730807628000000000,3209521.085107016800000000
22022532.303138584000000000,22022532.303138580000000000,3818867.802132754100000000
25531712.875469532000000000,25531712.875469528000000000,4428214.519158491900000000
29040893.447800484000000000,29040893.447800480000000000,5037561.236184229100000000
32550074.020131432000000000,32550074.020131428000000000,5646907.953209966400000000
39568435.164793335000000000,39568435.164793327000000000,6865601.387261441900000000
57114338.026448086000000000,57114338.026448078000000000,9912334.972390128300000000
74660240.888102829000000000,74660240.888102829000000000,12959068.557518816000000000
144843852.334721860000000000,144843852.334721830000000000,25146002.898033563000000000
215027463.781340870000000000,215027463.781340810000000000,37332937.238548309000000000
250119269.504650380000000000,250119269.504650320000000000,43426404.408805683000000000
285211075.227959870000000000,285211075.227959810000000000,49519871.579063058000000000
355394686.674578910000000000,355394686.674578850000000000,61706805.919577800000000000
530853715.291126430000000000,530853715.291126310000000000,92174141.770864666000000000
706312743.907673950000000000,706312743.907673840000000000,122641477.622151540000000000
4466492.281271765900000000,4466492.281271765900000000,881793.824046455560000000
4466772.371378406000000000,4466772.371378406000000000,881849.493286839570000000
4467122.484011706000000000,4467122.484011706000000000,881919.079837319670000000
4473424.511411102500000000,4473424.511411102500000000,883171.637745960270000000
4501433.522075090600000000,4501433.522075089600000000,888738.561784362890000000
4536444.785405073300000000,4536444.785405072400000000,895697.216832366070000000
4606467.312065040700000000,4606467.312065039800000000,909614.526928372680000000
4676489.838725007100000000,4676489.838725006200000000,923531.837024379170000000
4746512.365384974500000000,4746512.365384973600000000,937449.147120385780000000
4816534.892044941900000000,4816534.892044941000000000,951366.457216392270000000
4991591.208694859400000000,4991591.208694858500000000,986159.732456408670000000
5166647.525344776900000000,5166647.525344776000000000,1020953.007696425100000000
6216985.425244282900000000,6216985.425244282000000000,1229712.659136523300000000
7967548.591743459900000000,7967548.591743458100000000,1577645.411536686800000000
8667773.858343130000000000,8667773.858343128100000000,1716818.512496752400000000
9367999.124942800000000000,9367999.124942800000000000,1855991.613456817800000000
10068224.391542472000000000,10068224.391542470000000000,1995164.714416883200000000
10768449.658142142000000000,10768449.658142140000000000,2134337.815376948600000000
11468674.924741814000000000,11468674.924741812000000000,2273510.916337014200000000
14969801.257740166000000000,14969801.257740162000000000,2969376.421137341300000000
18470927.590738520000000000,18470927.590738516000000000,3665241.925937668400000000
21972053.923736870000000000,21972053.923736870000000000,4361107.430737995500000000
25473180.256735224000000000,25473180.256735221000000000,5056972.935538322700000000
28974306.589733578000000000,28974306.589733575000000000,5752838.440338649800000000
32475432.922731932000000000,32475432.922731929000000000,6448703.945138976900000000
39477685.588728637000000000,39477685.588728629000000000,7840434.954739631200000000
56983317.253720403000000000,56983317.253720395000000000,11319762.478741268000000000
74488948.918712184000000000,74488948.918712169000000000,14799090.002742903000000000
144511475.578679230000000000,144511475.578679200000000000,28716400.098749444000000000
214534002.238646270000000000,214534002.238646240000000000,42633710.194755994000000000
249545265.568629830000000000,249545265.568629800000000000,49592365.242759265000000000
284556528.898613390000000000,284556528.898613330000000000,56551020.290762536000000000
354579055.558580400000000000,354579055.558580340000000000,70468330.386769086000000000
529635372.208498120000000000,529635372.208498000000000000,105261605.626785430000000000
704691688.858415720000000000,704691688.858415720000000000,140054880.866801800000000000
4454932.805452177300000000,4454932.805452177300000000,991177.896387531070000000
4455212.165901511000000000,4455212.165901511000000000,991240.470173547160000000
4455561.366463177800000000,4455561.366463176900000000,991318.687406067270000000
4461846.976573182300000000,4461846.976573181300000000,992726.597591429250000000
4489783.021506530200000000,4489783.021506529300000000,998983.976193038510000000
4524703.077673215400000000,4524703.077673215400000000,1006805.699445050100000000
4594543.190006586700000000,4594543.190006585800000000,1022449.145949073100000000
4664383.302339958000000000,4664383.302339957100000000,1038092.592453096300000000
4734223.414673328400000000,4734223.414673328400000000,1053736.038957119500000000
4804063.527006699700000000,4804063.527006698800000000,1069379.485461142400000000
4978663.807840126600000000,4978663.807840126600000000,1108488.101721200200000000
5153264.088673555300000000,5153264.088673554400000000,1147596.717981257900000000
6200865.773674120200000000,6200865.773674119300000000,1382248.415541604200000000
7946868.582008395300000000,7946868.582008394400000000,1773334.578142181300000000
8645269.705342106500000000,8645269.705342104700000000,1929769.043182412200000000
9343670.828675815800000000,9343670.828675815800000000,2086203.508222643100000000
10042071.952009529000000000,10042071.952009527000000000,2242637.973262873900000000
10740473.075343238000000000,10740473.075343236000000000,2399072.438303104600000000
11438874.198676948000000000,11438874.198676946000000000,2555506.903343335700000000
14930879.815345502000000000,14930879.815345498000000000,3337679.228544490400000000
18422885.432014052000000000,18422885.432014048000000000,4119851.553745644600000000
21914891.048682604000000000,21914891.048682600000000000,4902023.878946798900000000
25406896.665351156000000000,25406896.665351149000000000,5684196.204147953500000000
28898902.282019708000000000,28898902.282019701000000000,6466368.529349107300000000
32390907.898688253000000000,32390907.898688249000000000,7248540.854550262000000000
39374919.132025361000000000,39374919.132025354000000000,8812885.504952570400000000
56834947.215368114000000000,56834947.215368107000000000,12723747.130958343000000000
74294975.298710883000000000,74294975.298710868000000000,16634608.756964114000000000
144135087.632081930000000000,144135087.632081900000000000,32278055.260987200000000000
213975199.965452940000000000,213975199.965452910000000000,47921501.765010282000000000
248895256.132138460000000000,248895256.132138430000000000,55743225.017021827000000000
283815312.298824010000000000,283815312.298823950000000000,63564948.269033372000000000
353655424.632195000000000000,353655424.632194940000000000,79208394.773056462000000000
528255705.465622600000000000,528255705.465622540000000000,118317011.033114180000000000
702855986.299050210000000000,702855986.299050090000000000,157425627.293171880000000000
4442024.512788159800000000,4442024.512788158800000000,1100265.912553128100000000
4442303.058484287000000000,4442303.058484286100000000,1100335.371824194900000000
4442651.240604447200000000,4442651.240604447200000000,1100422.195913028400000000
4448918.518767328000000000,4448918.518767327100000000,1101985.029512030800000000
4476773.088380128100000000,4476773.088380127200000000,1108930.956618708100000000
4511591.300396129500000000,4511591.300396128600000000,1117613.365502054600000000
4581227.724428131200000000,4581227.724428130300000000,1134978.183268747500000000
4650864.148460133000000000,4650864.148460132100000000,1152343.001035440500000000
4720500.572492134800000000,4720500.572492134800000000,1169707.818802133700000000
4790136.996524136500000000,4790136.996524136500000000,1187072.636568826600000000
4964228.056604141400000000,4964228.056604140400000000,1230484.680985559200000000
5138319.116684146200000000,5138319.116684145300000000,1273896.725402291900000000
6182865.477164175400000000,6182865.477164174400000000,1534368.991902687400000000
7923776.077964222100000000,7923776.077964221100000000,1968489.436070013100000000
8620140.318284241500000000,8620140.318284239600000000,2142137.613736943300000000
9316504.558604259000000000,9316504.558604257200000000,2315785.791403873800000000
10012868.798924280000000000,10012868.798924278000000000,2489433.969070804300000000
10709233.039244298000000000,10709233.039244296000000000,2663082.146737734300000000
11405597.279564317000000000,11405597.279564315000000000,2836730.324404664800000000
14887418.481164413000000000,14887418.481164411000000000,3704971.212739316300000000
18369239.682764508000000000,18369239.682764504000000000,4573212.101073968200000000
21851060.884364601000000000,21851060.884364597000000000,5441452.989408619700000000
25332882.085964695000000000,25332882.085964691000000000,6309693.877743271200000000
28814703.287564792000000000,28814703.287564788000000000,7177934.766077922700000000
32296524.489164889000000000,32296524.489164885000000000,8046175.654412574100000000
39260166.892365076000000000,39260166.892365076000000000,9782657.431081878000000000
56669272.900365539000000000,56669272.900365531000000000,14123861.872755138000000000
74078378.908366024000000000,74078378.908366010000000000,18465066.314428397000000000
143714802.940367940000000000,143714802.940367910000000000,35829884.081121430000000000
213351226.972369790000000000,213351226.972369760000000000,53194701.847814463000000000
248169438.988370780000000000,248169438.988370720000000000,61877110.731160976000000000
282987651.004371700000000000,282987651.004371640000000000,70559519.614507496000000000
352624075.036373560000000000,352624075.036373560000000000,87924337.381200522000000000
526715135.116378310000000000,526715135.116378250000000000,131336381.797933120000000000
700806195.196383000000000000,700806195.196383000000000000,174748426.214665680000000000
4427771.106941047100000000,4427771.106941046200000000,1209025.238405009000000000
4428048.753036253200000000,4428048.753036252200000000,1209101.562003159700000000
4428395.810655258600000000,4428395.810655257700000000,1209196.966500847800000000
4434642.847797375200000000,4434642.847797374200000000,1210914.247459236800000000
4462407.457317890600000000,4462407.457317889700000000,1218546.607274298600000000
4497113.219218535300000000,4497113.219218534400000000,1228087.057043125900000000
4566524.743019824800000000,4566524.743019823900000000,1247167.956580780200000000
4635936.266821114300000000,4635936.266821113400000000,1266248.856118434800000000
4705347.790622403800000000,4705347.790622402900000000,1285329.755656089200000000
4774759.314423693300000000,4774759.314423692400000000,1304410.655193743800000000
4948288.123926917100000000,4948288.123926916200000000,1352112.904037880000000000
5121816.933430139900000000,5121816.933430139000000000,1399815.152882016300000000
6162989.790449481500000000,6162989.790449480500000000,1686028.645946833500000000
7898277.885481718000000000,7898277.885481717100000000,2163051.134388195400000000
8592393.123494612100000000,8592393.123494610200000000,2353860.129764740400000000
9286508.361507505200000000,9286508.361507505200000000,2544669.125141285400000000
9980623.599520400200000000,9980623.599520400200000000,2735478.120517829900000000
10674738.837533295000000000,10674738.837533293000000000,2926287.115894374900000000
11368854.075546190000000000,11368854.075546188000000000,3117096.111270919400000000
14839430.265610659000000000,14839430.265610658000000000,4071141.088153643500000000
18310006.455675133000000000,18310006.455675129000000000,5025186.065036367600000000
21780582.645739604000000000,21780582.645739600000000000,5979231.041919091700000000
25251158.835804075000000000,25251158.835804071000000000,6933276.018801814900000000
28721735.025868546000000000,28721735.025868539000000000,7887320.995684539000000000
32192311.215933021000000000,32192311.215933014000000000,8841365.972567262100000000
39133463.596061960000000000,39133463.596061952000000000,10749455.926332710000000000
56486344.546384320000000000,56486344.546384312000000000,15519680.810746333000000000
73839225.496706679000000000,73839225.496706665000000000,20289905.695159953000000000
143250749.297996100000000000,143250749.297996070000000000,39370805.232814431000000000
212662273.099285570000000000,212662273.099285540000000000,58451704.770468913000000000
247368034.999930260000000000,247368034.999930230000000000,67992154.539296150000000000
282073796.900574980000000000,282073796.900574920000000000,77532604.308123395000000000
351485320.701864420000000000,351485320.701864360000000000,96613503.845777884000000000
525014130.205087960000000000,525014130.205087840000000000,144315752.689914080000000000
698542939.708311560000000000,698542939.708311440000000000,192018001.534050290000000000
4412176.679568743300000000,4412176.679568742400000000,1317423.322398681400000000
4412453.341489336500000000,4412453.341489335500000000,1317506.487075008500000000
4412799.168890075800000000,4412799.168890074800000000,1317610.442920417300000000
4419024.062103398100000000,4419024.062103397200000000,1319481.648137777100000000
4446690.254162606800000000,4446690.254162605900000000,1327798.115770487600000000
4481272.994236618300000000,4481272.994236617300000000,1338193.700311375500000000
4550438.474384641300000000,4550438.474384640300000000,1358984.869393151500000000
