ID,fi,lamda,h,Xp,Yp,Zp,rp,fi_w,hw,fi_err,fi_err_DD,h_err,ddr,taw,rQ,ZQ,rQw,ZQw,dr,dZ,fi_new,h_new
1,0.010000000000000000,45.000000000000000000,100.000000000000000000,4510094.566482120200000000,4510094.566482120200000000,1105.760206007309500000,6378236.903504218900000000,0.009999999999987899,100.000000000374680000,-0.000000000043565151,-0.000000000000012101,0.000000000374683395,-0.000008226487339143,-0.999999999998789970,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714878200000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
2,0.010000000000000000,45.000000000000000000,500.000000000000000000,4510377.409190286900000000,4510377.409190286000000000,1105.830019177034700000,6378636.903498126200000000,0.010000000000007395,500.000000000010740000,0.000000000026622454,0.000000000000007395,0.000000000010743406,0.000003024279856313,-1.000000000000739600,6378136.903505741600000000,1105.742752714878000000,6378136.903505741600000000,1105.742752714878000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
3,0.010000000000000000,45.000000000000000000,1000.000000000000000000,4510730.962575495200000000,4510730.962575494300000000,1105.917285639191500000,6379136.903490510800000000,0.010000000000001671,1000.000000000021500000,0.000000000006013939,0.000000000000001671,0.000000000021486812,-0.000001602280677637,-1.000000000000167000,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714878200000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
4,0.010000000000000000,45.000000000000000000,10000.000000000000000000,4517094.923509245700000000,4517094.923509244800000000,1107.488081958011400000,6388136.903353433100000000,0.009999999999999797,10000.000000000216000000,-0.000000000000730666,-0.000000000000000203,0.000000000216459739,0.000000409952598927,-0.999999999999979900,6378136.903505741600000000,1105.742752714878000000,6378136.903505741600000000,1105.742752714878000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,0.010000000000000000,45.000000000000000000,50000.000000000000000000,4545379.194325913700000000,4545379.194325912700000000,1114.469398930544900000,6428136.902744198200000000,0.010000000000000005,50000.000000000146000000,0.000000000000018735,0.000000000000000005,0.000000000145519152,0.000000064870656871,-1.000000000000000700,6378136.903505741600000000,1105.742752714878000000,6378136.903505741600000000,1105.742752714878000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
6,0.010000000000000000,45.000000000000000000,100000.000000000000000000,4580734.532846747900000000,4580734.532846747900000000,1123.196045146211900000,6478136.901982654800000000,0.010000000000000016,100000.000000000290000000,0.000000000000056205,0.000000000000000016,0.000000000291038305,-0.000000024516980451,-1.000000000000001600,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714878200000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
7,0.010000000000000000,45.000000000000000000,200000.000000000000000000,4651445.209888417300000000,4651445.209888416300000000,1140.649337577545600000,6578136.900459567100000000,0.009999999999999988,199999.999999999650000000,-0.000000000000043715,-0.000000000000000012,-0.000000000349245965,0.000000022823119640,-0.999999999999998560,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714878400000,0.000000000000000000,-0.000000000000227374,0.000000000000000000,0.000000000000000000
8,0.010000000000000000,45.000000000000000000,300000.000000000000000000,4722155.886930087600000000,4722155.886930086600000000,1158.102630008879300000,6678136.898936480300000000,0.009999999999999988,299999.999999999940000000,-0.000000000000043715,-0.000000000000000012,-0.000000000058207661,0.000000013692746679,-0.999999999999998330,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714878400000,0.000000000000000000,-0.000000000000227374,0.000000000000000000,0.000000000000000000
9,0.010000000000000000,45.000000000000000000,400000.000000000000000000,4792866.563971757000000000,4792866.563971756000000000,1175.555922440213000000,6778136.897413393500000000,0.009999999999999985,400000.000000000230000000,-0.000000000000056205,-0.000000000000000016,0.000000000232830644,0.000000010691618831,-0.999999999999998220,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714878400000,0.000000000000000000,-0.000000000000227374,0.000000000000000000,0.000000000000000000
10,0.010000000000000000,45.000000000000000000,500000.000000000000000000,4863577.241013426300000000,4863577.241013425400000000,1193.009214871546600000,6878136.895890305800000000,0.009999999999999966,499999.999999999590000000,-0.000000000000124900,-0.000000000000000035,-0.000000000407453626,0.000000017360568961,-0.999999999999996000,6378136.903505741600000000,1105.742752714878400000,6378136.903505741600000000,1105.742752714878600000,0.000000000000000000,-0.000000000000227374,0.000000000000000000,0.000000000000000000
11,0.010000000000000000,45.000000000000000000,750000.000000000000000000,5040353.933617600200000000,5040353.933617599300000000,1236.642445949880800000,7128136.892082588700000000,0.009999999999999924,750000.000000000350000000,-0.000000000000274780,-0.000000000000000076,0.000000000349245965,0.000000050612388866,-0.999999999999991340,6378136.903505741600000000,1105.742752714878200000,6378136.903505741600000000,1105.742752714879100000,0.000000000000000000,-0.000000000000909495,0.000000000000000000,0.000000000000000000
12,0.010000000000000000,45.000000000000000000,1000000.000000000000000000,5217130.626221774100000000,5217130.626221773200000000,1280.275677028214900000,7378136.888274870800000000,0.009999999999999891,1000000.000000000200000000,-0.000000000000393435,-0.000000000000000109,0.000000000232830644,0.000000085001487990,-0.999999999999987340,6378136.903505741600000000,1105.742752714878000000,6378136.903505741600000000,1105.742752714880000000,0.000000000000000000,-0.000000000002046363,0.000000000000000000,0.000000000000000000
