ID ,fi_org,h_org,fi_Tri,h_Tri,fi_Halley, h_Halley
360,10,500000,-4.47642E-05,1.047737896,-0.000319744,-0.116415322
361,10,750000,-1.27898E-05,-0.349245965,-0.000933653,-0.232830644
362,10,1000000,6.39488E-06,0.116415322,-0.001931255,0.232830644
363,10,2500000,-0.000153477,0,-0.014369306,-0.465661287
364,10,5000000,-0.00054996,-0.931322575,-0.042557957,-1.862645149
365,10,6000000,-0.000697042,0.931322575,-0.052489213,-1.862645149
366,10,7000000,-0.000792966,-2.793967724,-0.061071148,-5.587935448
367,10,8000000,-0.000895284,0,-0.068303763,0
368,10,9000000,-0.000946443,-1.862645149,-0.07429577,0
369,10,10000000,-0.000984812,-1.862645149,-0.079200646,-1.862645149
370,10,15000000,-0.001010392,0,-0.092028785,0
371,10,20000000,-0.000908074,3.725290298,-0.094055963,0
372,10,25000000,-0.000767386,-3.725290298,-0.09172183,-3.725290298
373,10,30000000,-0.000652278,-7.450580597,-0.087705843,-7.450580597
374,10,35000000,-0.000569145,0,-0.083203844,0
375,10,40000000,-0.000486011,0,-0.078689055,0
376,10,50000000,-0.000377298,7.450580597,-0.070362915,0
377,10,75000000,-0.000191847,-29.80232239,-0.054676264,0
378,10,100000000,-0.000108713,-14.90116119,-0.044386894,0
379,10,200000000,-3.83693E-05,0,-0.025067948,-29.80232239
380,10,300000000,-1.27898E-05,-59.60464478,-0.017406876,0
381,10,350000000,-6.39488E-06,-119.2092896,-0.015104717,-59.60464478
382,10,400000000,-6.39488E-06,0,-0.013333334,-59.60464478
383,10,500000000,-1.27898E-05,0,-0.010794565,-59.60464478
384,10,750000000,0,119.2092896,-0.007328538,0
385,10,1000000000,0,-119.2092896,-0.00553797,-119.2092896
386,11,100,-0.098896891,-0.302989633,-6.39488E-06,-0.134591005
387,11,500,0.055840133,1.405396688,-1.27898E-05,1.280170636
388,11,1000,0.019632296,-1.893681656,6.39488E-06,-1.243620318
389,11,10000,-0.001119105,-0.783984433,-6.39488E-06,-0.847649062
390,11,50000,8.31335E-05,-0.82218321,-6.39488E-06,-1.913576853
391,11,100000,-0.000191847,-1.658918336,-6.39488E-06,-0.94587449
392,11,200000,-5.7554E-05,-0.465661287,-3.83693E-05,0.058207661
